KOR,MATH,MEAN
87,66,76.5
84,88,86.0
82,96,89.0
58,82,70.0
94,59,76.5
84,64,74.0
82,67,74.5
97,49,73.0
84,65,74.5
60,98,79.0
86,63,74.5
74,71,72.5
78,95,86.5
58,88,73.0
77,67,72.0
89,77,83.0
81,85,83.0
55,88,71.5
89,82,85.5
90,95,92.5
74,100,87.0
86,62,74.0
83,79,81.0
69,89,79.0
90,98,94.0
61,93,77.0
99,100,99.5
50,96,73.0
60,88,74.0
88,77,82.5
99,66,82.5
91,84,87.5
65,94,79.5
100,67,83.5
96,74,85.0
85,99,92.0
93,61,77.0
49,93,71.0
53,97,75.0
74,99,86.5
88,72,80.0
93,56,74.5
100,64,82.0
89,85,87.0
96,79,87.5
94,54,74.0
74,90,82.0
85,55,70.0
90,97,93.5
82,89,85.5
58,99,78.5
70,72,71.0
49,98,73.5
81,95,88.0
83,57,70.0
98,70,84.0
81,84,82.5
100,64,82.0
52,95,73.5
88,73,80.5
74,95,84.5
91,87,89.0
98,65,81.5
80,85,82.5
88,77,82.5
93,99,96.0
80,87,83.5
95,81,88.0
87,65,76.0
91,95,93.0
89,62,75.5
83,71,77.0
90,91,90.5
84,63,73.5
82,87,84.5
85,81,83.0
75,68,71.5
95,73,84.0
61,100,80.5
71,81,76.0
74,80,77.0
41,99,70.0
96,78,87.0
99,54,76.5
89,91,90.0
71,77,74.0
95,54,74.5
69,82,75.5
99,88,93.5
95,50,72.5
100,84,92.0
91,68,79.5
83,83,83.0
96,98,97.0
53,89,71.0
75,93,84.0
65,96,80.5
58,89,73.5
78,94,86.0
71,83,77.0
69,92,80.5
96,72,84.0
86,55,70.5
88,99,93.5
56,88,72.0
78,72,75.0
100,64,82.0
81,75,78.0
72,77,74.5
62,92,77.0
86,71,78.5
52,88,70.0
80,71,75.5
94,92,93.0
97,70,83.5
100,98,99.0
78,97,87.5
69,98,83.5
57,99,78.0
74,70,72.0
91,83,87.0
79,97,88.0
51,97,74.0
63,78,70.5
95,71,83.0
93,72,82.5
91,84,87.5
82,97,89.5
77,69,73.0
97,78,87.5
69,74,71.5
100,92,96.0
96,71,83.5
96,58,77.0
72,71,71.5
98,100,99.0
89,97,93.0
66,94,80.0
95,59,77.0
75,69,72.0
84,88,86.0
67,76,71.5
88,97,92.5
74,71,72.5
83,58,70.5
96,81,88.5
92,73,82.5
80,67,73.5
76,95,85.5
98,65,81.5
100,83,91.5
65,76,70.5
99,55,77.0
94,71,82.5
66,100,83.0
91,53,72.0
91,90,90.5
92,92,92.0
97,93,95.0
48,93,70.5
75,66,70.5
55,91,73.0
51,91,71.0
72,68,70.0
62,79,70.5
46,99,72.5
68,95,81.5
100,89,94.5
78,77,77.5
97,54,75.5
93,96,94.5
49,92,70.5
94,85,89.5
94,46,70.0
57,99,78.0
80,93,86.5
94,51,72.5
67,74,70.5
90,62,76.0
72,82,77.0
50,94,72.0
63,96,79.5
72,73,72.5
96,67,81.5
97,78,87.5
86,93,89.5
66,89,77.5
53,89,71.0
83,79,81.0
62,93,77.5
57,90,73.5
83,66,74.5
99,54,76.5
96,46,71.0
67,95,81.0
89,87,88.0
